name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,census,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status
Goshcha,0810Gs1,Volhinia,8.0,10.0,Pale,South-West,0,884.0,2091.0,1.0,mestechko,,,2091.0,,Volhinia,Ostrog,50.60466,26.6827977,"Гоща, Гощанська селищна громада, Рівненський район, Рівненська область, 35400, Україна",3782165.0,Q786622,,1.0,matched_nominatim
Kilikiev,0810Kl1,Volhinia,8.0,10.0,Pale,South-West,0,576.0,1928.0,1.0,mestechko,,,1928.0,,Volhinia,Ostrog,50.5322409,27.0532246,"Киликиїв, Ганнопільська сільська громада, Шепетівський район, Хмельницька область, 30042, Україна",1745650913.0,Q4220491,,1.0,matched_nominatim
Kunev,0810Kn1,Volhinia,8.0,10.0,Pale,South-West,0,1661.0,2935.0,1.0,mestechko,,,2935.0,,Volhinia,Ostrog,50.2434839,26.3648377,"Кунів, Плужненська сільська громада, Шепетівський район, Хмельницька область, 30310, Україна",337526136.0,Q4247198,,1.0,matched_nominatim
Kisorichi,0810Ks1,Volhinia,8.0,10.0,Pale,South-West,0,70.0,684.0,1.0,selo,,,684.0,,Volhinia,Ostrog,51.1992231,27.2584499,"Кисоричі, Рівненська область, Україна",337510848.0,Q4222293,,1.0,matched_reverse
Liakhovtsy,0810Lk1,Volhinia,8.0,10.0,Pale,South-West,0,1384.0,5401.0,1.0,mestechko,,,5401.0,,Volhinia,Ostrog,50.0019489,26.4166916,"Білогір’я, Хмельницька область, Україна",337537581.0,Q2630044,,0.8,matched_db_api
Ostrog,0810Os1,Volhinia,8.0,10.0,Pale,South-West,0,9208.0,14749.0,1.0,Uezdnyi gorod,,,14749.0,,Volhinia,Ostrog,50.329021,26.5203627,"Острог, Острозька міська громада, Рівненський район, Рівненська область, 35800-35807, Україна",337524419.0,Q140671,אוסטרוה,1.0,matched_nominatim
Zdolbunovo,0810Zd1,Volhinia,8.0,10.0,Pale,South-West,1,518.0,4692.0,1.0,derevnia,at_most,No Jews mentioned at census year; calculated by subtraction from Total value any other groups mentioned in census for this place,4692.0,,Volhinia,Ostrog,50.518994,26.2431096,"Здолбунів, Здолбунівська міська громада, Рівненський район, Рівненська область, 35707, Україна",337520759.0,Q148979,,0.947,matched_nominatim
Aleksandriia,0811Al1,Volhinia,8.0,11.0,Pale,South-West,0,2154.0,3189.0,1.0,mestechko,,Name of district as it mentioned in census,3189.0,,Volhinia,Rovno,50.731873,26.3455835,"Олександрія, Олександрійська сільська громада, Рівненський район, Рівненська область, 35320, Україна",337517126.0,Q4061016,,1.0,matched_nominatim
Antonovka,0811An1,Volhinia,8.0,11.0,Pale,South-West,0,620.0,647.0,1.0,sloboda,,,647.0,,Volhinia,Rovno,50.8058627,26.4758562,"Малолюбашанська сільська громада, Рівненська область, Україна",4295225333.0,,,0.889,matched_db_api
Berezno,0811Br1,Volhinia,8.0,11.0,Pale,South-West,0,2765.0,4059.0,1.0,mestechko,,,4059.0,,Volhinia,Rovno,51.0035653,26.7524487,"Березне, Березнівська міська громада, Рівненський район, Рівненська область, 34607, Україна",1186506546.0,Q148910,ברזנה,1.0,matched_nominatim
Dombrovitsy,0811Dm1,Volhinia,8.0,11.0,Pale,South-West,0,2868.0,6007.0,1.0,mestechko,,Different Uezd of that mentioned on site,6007.0,,Volhinia,Rovno,51.5709462,26.5660889,"Дубровиця, Дубровицька міська громада, Сарненський район, Рівненська область, 34100-34108, Україна",252154479.0,Q205765,דומברוביץ,1.0,matched_refined
Derazhno,0811Dr1,Volhinia,8.0,11.0,Pale,South-West,0,770.0,1497.0,1.0,mestechko,,,1497.0,,Volhinia,Rovno,50.8624633,26.0492532,"Деражне, Деражненська сільська громада, Рівненський район, Рівненська область, 35053, Україна",1156681572.0,Q658167,דרז'נה,0.941,matched_nominatim
Glinki,0811Gl1,Volhinia,8.0,11.0,Pale,South-West,0,346.0,912.0,1.0,selo,,,912.0,,Volhinia,Rovno,50.575562,26.39912,"Глинки, Білокриницька сільська громада, Рівненський район, Рівненська область, 35342, Україна",337519511.0,Q7287119,,1.0,matched_nominatim
Goringrod,0811Gr1,Volhinia,8.0,11.0,Pale,South-West,0,540.0,1936.0,1.0,mestechko,,,1936.0,,Volhinia,Rovno,50.6593682,26.5077415,"Гориньград Перший, Білокриницька сільська громада, Рівненський район, Рівненська область, 35326, Україна",337518356.0,Q4146104,,1.0,matched_refined
Klesov,0811Kl1,Volhinia,8.0,11.0,Pale,South-West,1,59.0,760.0,1.0,selo,at_most,No Jews mentioned at census year; calculated by subtraction from Total value any other groups mentioned in census for this place,760.0,,Volhinia,Rovno,51.331829,26.923662,"Клесів, Клесівська селищна громада, Сарненський район, Рівненська область, 34550, Україна",337509403.0,Q4223426,,1.0,matched_nominatim
Klevan',0811Kl2,Volhinia,8.0,11.0,Pale,South-West,0,2432.0,3739.0,1.0,mestechko,,,3739.0,,Volhinia,Rovno,50.7464848,26.006327,"Клевань, Клеванська селищна громада, Рівненський район, Рівненська область, 35312, Україна",337516783.0,Q250591,,1.0,matched_nominatim
Krichil'sk,0811Kr1,Volhinia,8.0,11.0,Pale,South-West,1,120.0,1486.0,1.0,selo,at_most,No Jews mentioned at census year; calculated by subtraction from Total value any other groups mentioned in census for this place,1486.0,,Volhinia,Rovno,51.239891,26.362379,"Кричильськ, Сарненська міська громада, Сарненський район, Рівненська область, 34530, Україна",337510369.0,Q4241420,,1.0,matched_nominatim
Kostopol',0811Ks1,Volhinia,8.0,11.0,Pale,South-West,0,1101.0,1706.0,1.0,mestechko,,,1706.0,,Volhinia,Rovno,50.8792198,26.4533981,"Костопіль, Костопільська міська громада, Рівненський район, Рівненська область, 35000-35001, Україна",337514561.0,Q148985,קוסטופיל,1.0,matched_nominatim
Liudvipol',0811Ld1,Volhinia,8.0,11.0,Pale,South-West,0,1210.0,1428.0,1.0,mestechko,,,1428.0,,Volhinia,Rovno,50.8266045,26.9950145,"Соснове, Соснівська селищна громада, Рівненський район, Рівненська область, 34652, Україна",337515468.0,Q2993520,,0.889,matched_nominatim
Machulki,0811Mc1,Volhinia,8.0,11.0,Pale,South-West,0,433.0,708.0,1.0,koloniia,,,708.0,,Volhinia,Rovno,50.8242149,25.9491223,"Мочулки, Рівненська область, Україна",337515540.0,Q4305237,,0.875,matched_reverse
Malyia Selishchi,0811Ml1,Volhinia,8.0,11.0,Pale,South-West,0,598.0,628.0,1.0,sloboda,,,628.0,,Volhinia,Rovno,51.196629,26.92062,"Селище, Рівненська область, Україна",337510795.0,Q4413877,,0.64,matched_reverse
Mezherich,0811Mz1,Volhinia,8.0,11.0,Pale,South-West,0,456.0,1518.0,1.0,mestechko,,,1518.0,,Volhinia,Rovno,50.306084,26.480486,"Межиріч, Острозька міська громада, Рівненський район, Рівненська область, 35808, Україна",337524743.0,Q4288775,,0.889,matched_nominatim
Mezhirich,0811Mz2,Volhinia,8.0,11.0,Pale,South-West,0,2107.0,3131.0,1.0,mestechko,,,3131.0,,Volhinia,Rovno,50.6597992,26.8631128,"Великі Межирічі, Великомежиріцька сільська громада, Рівненський район, Рівненська область, 34725, Україна",1160207030.0,Q2580559,מזריטש,0.759,matched_refined
Osova,0811Os1,Volhinia,8.0,11.0,Pale,South-West,0,107.0,724.0,1.0,sloboda,,,724.0,,Volhinia,Rovno,51.087448,25.97683,"Осова, Костопільська міська громада, Рівненський район, Рівненська область, 35011, Україна",337511917.0,Q4338269,אוסובה,1.0,matched_nominatim
Rovno,0811Rv1,Volhinia,8.0,11.0,Pale,South-West,0,13780.0,24573.0,1.0,Uezdnyi gorod,,,24573.0,,Volhinia,Rovno,50.6196175,26.2513165,"Рівне, Рівненська міська громада, Рівненський район, Рівненська область, 35305, Україна",448930.0,Q156739,רובנו,1.0,matched_nominatim
Sarny,0811Sr1,Volhinia,8.0,11.0,Pale,South-West,1,172.0,2146.0,1.0,selo,at_most,Calculated by subtraction from Total value any other groups mentioned in census for this place,2146.0,,Volhinia,Rovno,51.3350028,26.6171275,"Сарни, Сарненська міська громада, Сарненський район, Рівненська область, 34508, Україна",337509542.0,Q997512,סארני,1.0,matched_nominatim
Stepan',0811St1,Volhinia,8.0,11.0,Pale,South-West,0,1854.0,5137.0,1.0,mestechko,,,5137.0,,Volhinia,Rovno,51.1331321,26.3058758,"Степань, Степанська селищна громада, Сарненський район, Рівненська область, 34560, Україна",337511426.0,Q46511,,1.0,matched_nominatim
Tuchin,0811Tc1,Volhinia,8.0,11.0,Pale,South-West,0,2535.0,3753.0,1.0,mestechko,,,3753.0,,Volhinia,Rovno,50.700191,26.56872,"Тучин, Гощанська селищна громада, Рівненський район, Рівненська область, 35415, Україна",337517700.0,Q610779,,1.0,matched_nominatim
Tomashgrod,0811Tm1,Volhinia,8.0,11.0,Pale,South-West,0,150.0,727.0,1.0,mestechko,,,727.0,,Volhinia,Rovno,51.367611,27.07855,"Томашгород, Рокитнівська селищна громада, Сарненський район, Рівненська область, 34240, Україна",337509005.0,Q4460209,,0.952,matched_nominatim
V'iunki,0811Vn1,Volhinia,8.0,11.0,Pale,South-West,0,151.0,1084.0,1.0,derevnia,,,1084.0,,Volhinia,Rovno,48.267059,31.886789,"В’юнки, Кіровоградська область, Україна",337604763.0,Q4130118,,1.0,matched_reverse
Vysotsk,0811Vy1,Volhinia,8.0,11.0,Pale,South-West,0,880.0,912.0,1.0,mestechko,,,912.0,,Volhinia,Rovno,51.7236599,26.6602392,"Висоцьк, Висоцька сільська громада, Сарненський район, Рівненська область, 34111, Україна",337505209.0,Q2599428,,1.0,matched_nominatim
Bazaliia,0812Bz1,Volhinia,8.0,12.0,Pale,South-West,0,820.0,3362.0,1.0,mestechko,,,3362.0,,Volhinia,Starokonstantinov,49.71382,26.47877,"Базалія, Хмельницька область, Україна",337548269.0,Q2629685,,1.0,matched_db_api
Kul'chiny,0812Kl1,Volhinia,8.0,12.0,Pale,South-West,0,2031.0,4335.0,1.0,mestechko,,,4335.0,,Volhinia,Starokonstantinov,49.75845,26.9014,"Кульчини, Красилівська міська громада, Хмельницький район, Хмельницька область, 31040, Україна",337546010.0,Q4246767,,1.0,matched_nominatim
Kupel',0812Kp1,Volhinia,8.0,12.0,Pale,South-West,0,2727.0,4333.0,1.0,mestechko,,,4333.0,,Volhinia,Starokonstantinov,49.6132144,26.5130301,"Купіль, Війтовецька селищна громада, Хмельницький район, Хмельницька область, 31226, Україна",337552592.0,Q2090035,,1.0,matched_nominatim
Krasilov,0812Kr1,Volhinia,8.0,12.0,Pale,South-West,0,2563.0,6994.0,1.0,mestechko,,,6994.0,,Volhinia,Starokonstantinov,49.6544431,26.9709084,"Красилів, Красилівська міська громада, Хмельницький район, Хмельницька область, Україна",167953166.0,Q1020096,,1.0,matched_nominatim
Kuz'min,0812Kz1,Volhinia,8.0,12.0,Pale,South-West,0,830.0,3368.0,1.0,mestechko,,,3368.0,,Volhinia,Starokonstantinov,49.699059,27.073059,"Кузьмин, Щиборівська сільська громада, Хмельницький район, Хмельницька область, 31047, Україна",337548815.0,Q4245379,,1.0,matched_nominatim
Ozhigovtsy,0812Oz1,Volhinia,8.0,12.0,Pale,South-West,0,154.0,1406.0,1.0,mestechko,,,1406.0,,Volhinia,Starokonstantinov,49.6289583,26.2361473,"Ожигівці, Волочиська міська громада, Хмельницький район, Хмельницька область, 31214, Україна",337552163.0,Q4331876,,1.0,matched_nominatim
Starokonstantinov,0812St1,Volhinia,8.0,12.0,Pale,South-West,0,9212.0,16377.0,1.0,Uezdnyi gorod,,,16377.0,,Volhinia,Starokonstantinov,49.756163,27.2087889,"Старокостянтинів, Хмельницька область, Україна",337546205.0,Q997429,,1.0,matched_db_api
Teofipol',0812Tf1,Volhinia,8.0,12.0,Pale,South-West,0,2914.0,4484.0,1.0,mestechko,,,4484.0,,Volhinia,Starokonstantinov,49.84463,26.41525,"Теофіполь, Хмельницька область, Україна",337543145.0,Q2637331,,1.0,matched_db_api
Volochisk,0812Vl1,Volhinia,8.0,12.0,Pale,South-West,0,3295.0,6716.0,1.0,mestechko,,,6716.0,,Volhinia,Starokonstantinov,49.5358446,26.2126215,"Волочиськ, Хмельницька область, Україна",313201266.0,Q219762,,1.0,matched_db_api
Voronezh,0901Vr1,Voronezh,9.0,1.0,Beyond,Inner Russia,0,1708.0,80599.0,1.0,Gubernskii gorod,,.,80599.0,,Voronezh,Voronezh,51.6605982,39.2005858,"Воронеж, городской округ Воронеж, Воронежская область, Центральный федеральный округ, 394068, Россия",27505044.0,Q3426,וורונז',1.0,matched_nominatim
Porech'e,11.Pr1,Grodno,,,Pale,Lithuania,1,,,0.0,,,Not mentioned in census,,,,,53.88726,24.133511,"Парэчча, Гродзенскі раён, Гродзенская вобласць, Беларусь",629606200.0,Q3917743,,1.0,matched_db_api
Druskeniki,1101Dr1,Grodno,11.0,1.0,Pale,Lithuania,0,636.0,1280.0,1.0,mestechko,,,1280.0,,Grodno,Grodna,54.0171932,23.9772282,"Druskininkai, Druskininkų savivaldybė, Alytaus apskritis, Lietuva",1657212330.0,Q1261509,דרוסקינינקאי,1.0,matched_db_api
Golynka,1101Gl1,Grodno,11.0,1.0,Pale,Lithuania,0,59.0,521.0,1.0,selo,,,521.0,,Grodno,Grodna,53.7753183,23.5688407,Галынка,629605474.0,Q11710172,,1.0,matched_db_api
Grandichi,1101Gr1,Grodno,11.0,1.0,Pale,Lithuania,0,56.0,516.0,1.0,derevnia,,,516.0,,Grodno,Grodna,53.7363269,23.8200074,Грандзічы,2222555431.0,Q21615799,,1.0,matched_db_api
Grodna,1101Gr2,Grodno,11.0,1.0,Pale,Lithuania,0,22684.0,46919.0,1.0,Uezdnyi gorod,,,46919.0,,Grodno,Grodna,53.6834599,23.8342648,"Гродна, Гродзенская вобласць, Беларусь",428339511.0,Q181376,גרודנו,1.0,matched_db_api
Indura,1101In1,Grodno,11.0,1.0,Pale,Lithuania,0,2194.0,2674.0,1.0,mestechko,,,2674.0,,Grodno,Grodna,53.459721,23.883736,"Індура, Гродзенскі раён, Гродзенская вобласць, Беларусь",3201535912.0,Q2920508,,1.0,matched_db_api
Kamenka,1101Km1,Grodno,11.0,1.0,Pale,Lithuania,0,347.0,581.0,1.0,mestechko,,,581.0,,Grodno,Grodna,53.5456899,24.5196294,"Каменскі сельскі Савет, Шчучынскі раён, Гродзенская вобласць, Беларусь",3809706714.0,Q21627163,,1.0,matched_db_api
Krinki,1101Kr1,Grodno,11.0,1.0,Pale,Lithuania,0,3542.0,4957.0,1.0,mestechko,,,4957.0,,Grodno,Grodna,53.2644419,23.7726182,"Krynki, powiat sokólski, województwo podlaskie, Polska",31575223.0,Q286696,קרינקי,1.0,matched_db_api
Lunka,1101Ln1,Grodno,11.0,1.0,Pale,Lithuania,0,1364.0,1835.0,1.0,mestechko,,,1835.0,,Grodno,Grodna,53.4538685,24.2606804,"Лунна, Мастоўскі раён, Гродзенская вобласць, Беларусь",242983860.0,Q1011346,,0.889,matched_db_api
Mosty,1101Ms1,Grodno,11.0,1.0,Pale,Lithuania,0,868.0,2633.0,1.0,mestechko,,,2633.0,,Grodno,Grodna,53.4134113,24.5428406,"Масты, Мастоўскі раён, Гродзенская вобласць, Беларусь",242978897.0,Q958685,,1.0,matched_db_api
Ozery,1101Oz1,Grodno,11.0,1.0,Pale,Lithuania,0,1392.0,3283.0,1.0,mestechko,,,3283.0,,Grodno,Grodna,53.7207988,24.1835632,"Азёры, Гродзенскі раён, Гродзенская вобласць, Беларусь",411782089.0,Q3917746,,1.0,matched_refined
Skidel',1101Sk1,Grodno,11.0,1.0,Pale,Lithuania,0,2222.0,2790.0,1.0,mestechko,,,2790.0,,Grodno,Grodna,53.5902309,24.2510704,"Скідзель, Гродзенскі раён, Гродзенская вобласць, Беларусь",351282610.0,Q958847,סקידל,1.0,matched_db_api
Velikaia Berestovitsa,1101Vl1,Grodno,11.0,1.0,Pale,Lithuania,0,963.0,1579.0,1.0,mestechko,,,1579.0,,Grodno,Grodna,53.1930575,24.017197,"Вялікая Бераставіца, Бераставіцкі раён, Гродзенская вобласць, Беларусь",242978891.0,Q1460634,ויאליקאיה בראסטאביצה,1.0,matched_db_api
Volia,1101Vl2,Grodno,11.0,1.0,Pale,Lithuania,0,467.0,540.0,1.0,mestechko,,47 versts to south-east of Grodna near Neman river http://dic.academic.ru/dic.nsf/brokgauz_efron/125512/%D0%92%D0%BE%D0%BB%D1%8F,540.0,,Grodno,Grodna,52.8524336,24.8616896,Воля,242987120.0,Q21659711,,1.0,matched_db_api
Volpa,1101Vl3,Grodno,11.0,1.0,Pale,Lithuania,0,1151.0,1976.0,1.0,mestechko,,,1976.0,,Grodno,Grodna,53.36823,24.35969,"Воўпа, Ваўкавыскі раён, Гродзенская вобласць, Беларусь",242983953.0,Q2648542,,1.0,matched_db_api
Brest-Kuiavsk,5103Br1,Warsaw,51.0,3.0,Pale,Poland,0,678.0,2744.0,1.0,Bezuezdnyi gorod,,,2744.0,,Warsaw,Vlotslavsk,52.6048164,18.9015463,Brześć Kujawski,598898210.0,Q985649,,0.786,matched_db_api
Chernavchitsy,1102Cr1,Grodno,11.0,2.0,Pale,Lithuania,0,481.0,1209.0,1.0,mestechko,,,1209.0,,Grodno,Brest-Litovsk,52.2117285,23.7471308,"Чарнаўчыцы, Брэсцкі раён, Брэсцкая вобласць, Беларусь",242980215.0,Q377440,,1.0,matched_db_api
Cherniany,1102Cr2,Grodno,11.0,2.0,Pale,Lithuania,0,85.0,678.0,1.0,selo,,,678.0,,Grodno,Brest-Litovsk,51.9861,24.21267,"Чарняны, Маларыцкі раён, Брэсцкая вобласць, Беларусь",242982243.0,Q20440077,,1.0,matched_db_api
Domachev,1102Dm1,Grodno,11.0,2.0,Pale,Lithuania,0,1057.0,1180.0,1.0,mestechko,,,1180.0,,Grodno,Brest-Litovsk,51.7473452,23.5929791,"Дамачаўскі сельскі Савет, Брэсцкі раён, Брэсцкая вобласць, Беларусь",242978994.0,Q550040,דומצ'ב,0.941,matched_db_api
Kamenets-Litovsk,1102Km1,Grodno,11.0,2.0,Pale,Lithuania,0,2722.0,3569.0,1.0,mestechko,,,3569.0,,Grodno,Brest-Litovsk,52.401864,23.8218253,"Камянец, Камянецкі раён, Брэсцкая вобласць, Беларусь",242978889.0,Q956614,קמניץ,1.0,matched_db_api
Maloryto,1102Ml1,Grodno,11.0,2.0,Pale,Lithuania,0,227.0,1480.0,1.0,mestechko,,,1480.0,,Grodno,Brest-Litovsk,51.7919347,24.0835253,"Маларыта, Маларыцкі раён, Брэсцкая вобласць, Беларусь",242978892.0,Q656579,,0.875,matched_db_api
Mileichitsy,1102Ml2,Grodno,11.0,2.0,Pale,Lithuania,0,814.0,1685.0,1.0,mestechko,,,1685.0,,Grodno,Brest-Litovsk,52.5196495,23.1321316,"Jałtuszczyki, powiat siemiatycki, województwo podlaskie, Polska",464168261.0,Q2392709,,1.0,matched_refined
Vlodavka,1102Vl1,Grodno,11.0,2.0,Pale,Lithuania,1,51.0,1436.0,1.0,mestechko,at_most,"Calculated by subtraction from Total value any other groups mentioned in census for this place, points to city in neighbour guberniia",1436.0,,Grodno,Brest-Litovsk,51.5415991,23.569251,"Владаўка, Тамашоўскі сельскі Савет, Брэсцкі раён, Брэсцкая вобласць, Беларусь",3424148658.0,,,1.0,matched_nominatim
Volchin,1102Vl2,Grodno,11.0,2.0,Pale,Lithuania,0,588.0,617.0,1.0,mestechko,,,617.0,,Grodno,Brest-Litovsk,52.2824066,23.3119895,"Воўчын, Камянецкі раён, Брэсцкая вобласць, Беларусь",242979092.0,Q661254,,1.0,matched_db_api
Vysoko-Litovsk,1102Vy1,Grodno,11.0,2.0,Pale,Lithuania,0,2876.0,3434.0,1.0,mestechko,,,3434.0,,Grodno,Brest-Litovsk,52.3669008,23.3783112,"Высокае, Камянецкі раён, Брэсцкая вобласць, Беларусь",242978995.0,Q956627,ויסוקי,1.0,matched_db_api
Zamost'e predmest'e Kamenets-L,1102Zm1,Grodno,11.0,2.0,Pale,Lithuania,0,796.0,1288.0,1.0,mestechko,,,1288.0,,Grodno,Brest-Litovsk,52.4034358,23.7960547,"Камянец, Камянецкі раён, Брэсцкая вобласць, Беларусь",12010224708.0,,,0.857,matched_refined
Bielostok,1103Bl1,Grodno,11.0,3.0,Pale,Lithuania,0,41905.0,66032.0,1.0,Uezdnyi gorod,,,66032.0,,Grodno,Bielostok,53.132398,23.1591679,"Białystok, województwo podlaskie, Polska",60038888.0,Q761,ביאליסטוק,0.941,matched_db_api
Goniondz,1103Gn1,Grodno,11.0,3.0,Pale,Lithuania,0,2056.0,3436.0,1.0,Zashtatnyi gorod,,,3436.0,,Grodno,Bielostok,53.489222,22.7323721,"Goniądz, powiat moniecki, województwo podlaskie, Polska",31577128.0,Q985386,,1.0,matched_db_api
Gorodok,1103Gr1,Grodno,11.0,3.0,Pale,Lithuania,0,2513.0,3209.0,1.0,mestechko,,,3209.0,,Grodno,Bielostok,53.095237,23.6677887,"Gródek, powiat białostocki, województwo podlaskie, Polska",31576826.0,Q3692486,,1.0,matched_refined
Iasenovka,1103Is1,Grodno,11.0,3.0,Pale,Lithuania,0,1154.0,1565.0,1.0,mestechko,,,1565.0,,Grodno,Bielostok,53.3953537,23.0379765,"Jasionówka, powiat moniecki, województwo podlaskie, Polska",31576588.0,Q1976576,,1.0,matched_refined
Knyshin,1103Kn1,Grodno,11.0,3.0,Pale,Lithuania,0,1878.0,3864.0,1.0,Zashtatnyi gorod,,,3864.0,,Grodno,Bielostok,53.2637273,22.9551545,"Knyszyn, Chraboły, gmina Dobrzyniewo Duże, powiat białostocki, województwo podlaskie, Polska",3009663818.0,Q11740456,,1.0,matched_refined
Khorosh,1103Kr1,Grodno,11.0,3.0,Pale,Lithuania,0,827.0,2464.0,1.0,mestechko,,,2464.0,,Grodno,Bielostok,53.143925,22.9884588,"Choroszcz, powiat białostocki, województwo podlaskie, Polska",31577715.0,Q924100,,0.875,matched_db_api
Nezbudka,1103Nz1,Grodno,11.0,3.0,Pale,Lithuania,0,1033.0,3147.0,1.0,koloniia,,,3147.0,,Grodno,Bielostok,53.0328933,23.6066858,"Michałowo, powiat białostocki, województwo podlaskie, Polska",31574622.0,Q2364639,,1.0,matched_refined
Suprasl',1103Sp1,Grodno,11.0,3.0,Pale,Lithuania,0,466.0,2459.0,1.0,mestechko I koloniia,,,2459.0,,Grodno,Bielostok,53.2100391,23.3360728,"Supraśl, powiat białostocki, województwo podlaskie, Polska",31571305.0,Q1906334,,1.0,matched_db_api
Surazh,1103Sr1,Grodno,11.0,3.0,Pale,Lithuania,0,368.0,1599.0,1.0,Zashtatnyi gorod,,,1599.0,,Grodno,Bielostok,52.9491665,22.9563836,"Suraż, powiat białostocki, województwo podlaskie, Polska",31597850.0,Q1823772,,1.0,matched_db_api
Trostiany,1103Tr1,Grodno,11.0,3.0,Pale,Lithuania,0,2276.0,2313.0,1.0,mestechko,,,2313.0,,Grodno,Bielostok,53.3441063,22.6810444,"Trzcianne, powiat moniecki, województwo podlaskie, Polska",31570855.0,Q2351804,,1.0,matched_refined
Zabludovo,1103Zb1,Grodno,11.0,3.0,Pale,Lithuania,0,2621.0,3772.0,1.0,mestechko,,,3772.0,,Grodno,Bielostok,53.0147671,23.3379526,"Zabłudów, powiat białostocki, województwo podlaskie, Polska",31569814.0,Q1906311,,0.941,matched_db_api
Biel'sk,1104Bl1,Grodno,11.0,4.0,Pale,Lithuania,0,4079.0,7464.0,1.0,Uezdnyi gorod,,,7464.0,,Grodno,Bielsk,52.7687555,23.1925618,Bielsk Podlaski,265615741.0,Q850714,,0.909,matched_db_api
Briansk,1104Br1,Grodno,11.0,4.0,Pale,Lithuania,0,2374.0,4087.0,1.0,Zashtatnyi gorod,,Correct name of district as it mentioned in census,4087.0,,Grodno,Bielsk,52.7454145,22.8328169,"Brańsk, powiat bielski, województwo podlaskie, Polska",599266728.0,Q607410,,0.923,matched_db_api
Bots'ki,1104Bt1,Grodno,11.0,4.0,Pale,Lithuania,0,1409.0,2636.0,1.0,mestechko,,,2636.0,,Grodno,Bielsk,52.6512834,23.0426375,"Boćki, powiat bielski, województwo podlaskie, Polska",692601106.0,Q896243,,1.0,matched_refined
Drogichin,1104Dr1,Grodno,11.0,4.0,Pale,Lithuania,0,784.0,1707.0,1.0,Zashtatnyi gorod,,,1707.0,,Grodno,Bielsk,52.396648,22.658812,"Drohiczyn, powiat siemiatycki, województwo podlaskie, Polska",1855026515.0,Q769631,,0.947,matched_db_api
Kleshcheli,1104Kl1,Grodno,11.0,4.0,Pale,Lithuania,0,710.0,2013.0,1.0,Zashtatnyi gorod,,,2013.0,,Grodno,Bielsk,52.574173,23.3254851,"Kleszczele, powiat hajnowski, województwo podlaskie, Polska",464006425.0,Q578026,,0.9,matched_db_api
Loiki predmest'e mestechka Sem,1104Lk1,Grodno,11.0,4.0,Pale,Lithuania,0,175.0,519.0,1.0,derevnia,,Now part of Semiatichi : http://www.rujen.ru/index.php/%D0%9B%D0%9E%D0%99%D0%9A%D0%98,519.0,,Grodno,Bielsk,52.4278979,22.8627258,"Siemiatycze, powiat siemiatycki, województwo podlaskie, Polska",1838681689.0,Q218980,,1.0,matched_refined
Mel'nik,1104Ml1,Grodno,11.0,4.0,Pale,Lithuania,0,442.0,1485.0,1.0,Zashtatnyi gorod,,,1485.0,,Grodno,Bielsk,52.3308675,23.048909,"Mielnik, powiat siemiatycki, województwo podlaskie, Polska",1863447655.0,Q652199,,0.923,matched_db_api
Nemirovo,1104Nm1,Grodno,11.0,4.0,Pale,Lithuania,0,157.0,765.0,1.0,mestechko,,,765.0,,Grodno,Bielsk,52.2863832,23.1639416,"Niemirów, powiat siemiatycki, województwo podlaskie, Polska",1863447682.0,Q5738311,,1.0,matched_refined
Narev,1104Nr1,Grodno,11.0,4.0,Pale,Lithuania,0,601.0,1434.0,1.0,Zashtatnyi gorod,,,1434.0,,Grodno,Bielsk,52.9025729,23.922051,"Narew / Нараў, Guszczewina, gmina Narewka, powiat hajnowski, województwo podlaskie, Polska",40915659.0,,,1.0,matched_nominatim
Orlia,1104Or1,Grodno,11.0,4.0,Pale,Lithuania,0,2310.0,3003.0,1.0,mestechko,,Town name not mentioned on site,3003.0,,Grodno,Bielsk,52.7029948,23.3321917,"Orla, powiat bielski, województwo podlaskie, Polska",692601100.0,Q6838269,,1.0,matched_db_api
Semiatichi,1104Sm1,Grodno,11.0,4.0,Pale,Lithuania,0,4638.0,6151.0,1.0,mestechko,,,6151.0,,Grodno,Bielsk,52.4278979,22.8627258,Siemiatycze,1838681689.0,Q218980,,0.8,matched_db_api
Tsiekhanovets,1104Ts1,Grodno,11.0,4.0,Pale,Lithuania,0,3743.0,5569.0,1.0,mestechko,,,5569.0,,Grodno,Bielsk,52.6787967,22.4991103,"Ciechanowiec, powiat wysokomazowiecki, województwo podlaskie, Polska",1818704253.0,Q995159,,0.96,matched_db_api
Golobudy,1105Gl1,Grodno,11.0,5.0,Pale,Lithuania,0,214.0,214.0,1.0,koloniia,uncertain,"Not mentioned in census, mentioned in Russian Jewish Encyclopedy as based in 1849 : http://www.rujen.ru/index.php/%D0%93%D0%9E%D0%9B%D0%9E%D0%91%D0%A3%D0%94%D0%AB",214.0,,Grodno,Volkovysk,53.0064108,24.2101467,"Галабуды, Агароднікі, Вердаміцкі сельскі Савет, Свіслацкі раён, Гродзенская вобласць, Беларусь",13461048369.0,Q116762123,,1.0,matched_nominatim
